module_definition	module	component	component_class	n_features	n_edges	mdc	log2_mdc	direction	p_loss_sample	p_loss_gene	q_loss_sample	q_loss_gene	q_loss_max	p_gain_sample	p_gain_gene	q_gain_sample	q_gain_gene	q_gain_max	directional_p_sample	directional_p_gene	directional_fdr	significant_fdr_05	significant_fdr_10	component_label
control_derived	772	CT_DLPFC__PCGBA23	CT	666	49594	1.09295209150936	0.128230163263536	Higher in AD	0.0049751243781094	0.631840796019901	0.0643212508884151	1.0	1.0	1.0	0.373134328358209	1.0	0.414339346213717	1.0	0.0049751243781094	0.631840796019901	1.0	False	False	CT: DLPFC - PCG
control_derived	787	TS_AC	TS	340	3160	0.793311577079612	-0.334040491981733	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0109093088773002	0.0146043973679987	0.0146043973679987	0.0049751243781094	0.0049751243781094	0.0146043973679987	True	True	TS: AC
control_derived	787	TS_DLPFC	TS	340	10296	0.831736480124469	-0.265801584594861	Higher in Control	0.0049751243781094	1.0	0.008401389280015	1.0	1.0	1.0	0.0049751243781094	1.0	0.0117177271537052	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
control_derived	787	TS_PCGBA23	TS	340	6670	0.584383466095718	-0.775012734198297	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078241272271123	0.0130774697938877	0.0130774697938877	0.0049751243781094	0.0049751243781094	0.0130774697938877	True	True	TS: PCG
control_derived	787	CT_AC__DLPFC	CT	340	11520	0.467633956342132	-1.096548402683	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
control_derived	787	CT_AC__PCGBA23	CT	340	9280	0.4381290963287	-1.1905720670897	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	787	CT_DLPFC__PCGBA23	CT	340	16704	0.481189719388536	-1.055322275203	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078304131516331	0.0075041459369817	0.0078304131516331	0.0049751243781094	0.0049751243781094	0.0078304131516331	True	True	CT: DLPFC - PCG
control_derived	788	TS_AC	TS	361	1953	0.77262126794268	-0.372166703710058	Higher in Control	1.0	0.990049751243781	1.0	1.0	1.0	0.0049751243781094	0.0149253731343284	0.0109093088773002	0.0352781546811398	0.0352781546811398	0.0049751243781094	0.0149253731343284	0.0352781546811398	True	True	TS: AC
control_derived	788	TS_DLPFC	TS	361	12090	0.89116964763131	-0.166227998158125	Higher in Control	0.0049751243781094	1.0	0.008401389280015	1.0	1.0	1.0	0.0049751243781094	1.0	0.0117177271537052	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
control_derived	788	TS_PCGBA23	TS	361	10011	0.686573388967331	-0.542514154208663	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078241272271123	0.0130774697938877	0.0130774697938877	0.0049751243781094	0.0049751243781094	0.0130774697938877	True	True	TS: PCG
control_derived	788	CT_AC__DLPFC	CT	361	9828	0.516891612282625	-0.952066303352897	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
control_derived	788	CT_AC__PCGBA23	CT	361	8946	0.50871509853785	-0.975070181220678	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	788	CT_DLPFC__PCGBA23	CT	361	22152	0.479379012503071	-1.06076134656059	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078304131516331	0.0075041459369817	0.0078304131516331	0.0049751243781094	0.0049751243781094	0.0078304131516331	True	True	CT: DLPFC - PCG
control_derived	792	TS_AC	TS	270	3403	0.822290226367756	-0.28228041358195	Higher in Control	1.0	0.965174129353234	1.0	1.0	1.0	0.0049751243781094	0.0398009950248756	0.0109093088773002	0.0770615010056103	0.0770615010056103	0.0049751243781094	0.0398009950248756	0.0770615010056103	False	True	TS: AC
control_derived	792	TS_DLPFC	TS	270	3741	0.717297939917171	-0.479355607537199	Higher in Control	0.0995024875621891	1.0	0.13493140358812	1.0	1.0	0.90547263681592	0.0049751243781094	1.0	0.0117177271537052	1.0	0.90547263681592	0.0049751243781094	1.0	False	False	TS: DLPFC
control_derived	792	TS_PCGBA23	TS	270	4950	0.782383285933456	-0.354052544585049	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078241272271123	0.0130774697938877	0.0130774697938877	0.0049751243781094	0.0049751243781094	0.0130774697938877	True	True	TS: PCG
control_derived	792	CT_AC__DLPFC	CT	270	7221	0.480057244491403	-1.05872164442928	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
control_derived	792	CT_AC__PCGBA23	CT	270	8300	0.431392761164814	-1.21292612682489	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	792	CT_DLPFC__PCGBA23	CT	270	8700	0.654697213964667	-0.611100255273457	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078304131516331	0.0075041459369817	0.0078304131516331	0.0049751243781094	0.0049751243781094	0.0078304131516331	True	True	CT: DLPFC - PCG
control_derived	794	TS_AC	TS	105	45	0.863971365221777	-0.210944597240662	Higher in Control	0.631840796019901	0.676616915422886	1.0	1.0	1.0	0.373134328358209	0.328358208955224	0.481634381285064	0.442675511332228	0.481634381285064	0.373134328358209	0.328358208955224	0.481634381285064	False	False	TS: AC
control_derived	794	TS_DLPFC	TS	105	435	0.704860451242612	-0.504590434862867	Higher in Control	0.427860696517413	1.0	0.455875384979863	1.0	1.0	0.577114427860697	0.0049751243781094	1.0	0.0117177271537052	1.0	0.577114427860697	0.0049751243781094	1.0	False	False	TS: DLPFC
control_derived	794	TS_PCGBA23	TS	105	2080	0.585574804151484	-0.772074615561372	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078241272271123	0.0130774697938877	0.0130774697938877	0.0049751243781094	0.0049751243781094	0.0130774697938877	True	True	TS: PCG
control_derived	794	CT_AC__DLPFC	CT	105	300	0.69990189758291	-0.514775375385682	Higher in Control	0.970149253731343	0.960199004975124	1.0	1.0	1.0	0.0348258706467662	0.0447761194029851	0.0396445445727338	0.0506529850746269	0.0506529850746269	0.0348258706467662	0.0447761194029851	0.0506529850746269	False	True	CT: AC - DLPFC
control_derived	794	CT_AC__PCGBA23	CT	105	650	0.405306783439436	-1.30291377355507	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	794	CT_DLPFC__PCGBA23	CT	105	1950	0.480393888930126	-1.05771029618827	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078304131516331	0.0075041459369817	0.0078304131516331	0.0049751243781094	0.0049751243781094	0.0078304131516331	True	True	CT: DLPFC - PCG
control_derived	795	TS_AC	TS	316	4656	0.922665675256086	-0.116120107931377	Higher in Control	0.915422885572139	0.676616915422886	1.0	1.0	1.0	0.0895522388059701	0.328358208955224	0.148168249660787	0.442675511332228	0.442675511332228	0.0895522388059701	0.328358208955224	0.442675511332228	False	False	TS: AC
control_derived	795	TS_DLPFC	TS	316	5565	0.886965778450437	-0.173049652381624	Higher in Control	0.0049751243781094	1.0	0.008401389280015	1.0	1.0	1.0	0.0049751243781094	1.0	0.0117177271537052	1.0	1.0	0.0049751243781094	1.0	False	False	TS: DLPFC
control_derived	795	TS_PCGBA23	TS	316	6328	0.638764132822106	-0.646644788482029	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078241272271123	0.0130774697938877	0.0130774697938877	0.0049751243781094	0.0049751243781094	0.0130774697938877	True	True	TS: PCG
control_derived	795	CT_AC__DLPFC	CT	316	10282	0.627688033567156	-0.671880389674959	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
control_derived	795	CT_AC__PCGBA23	CT	316	10961	0.631589240223764	-0.662941501282692	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0053555750658472	0.0061516740621218	0.0061516740621218	0.0049751243781094	0.0049751243781094	0.0061516740621218	True	True	CT: AC - PCG
control_derived	795	CT_DLPFC__PCGBA23	CT	316	11978	0.674494380579526	-0.568121671200583	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0078304131516331	0.0075041459369817	0.0078304131516331	0.0049751243781094	0.0049751243781094	0.0078304131516331	True	True	CT: DLPFC - PCG
control_derived	798	TS_AC	TS	81	78	0.921427518996334	-0.118057409332171	Higher in Control	0.656716417910448	0.621890547263682	1.0	1.0	1.0	0.348258706467662	0.383084577114428	0.459297714326916	0.508915277626466	0.508915277626466	0.348258706467662	0.383084577114428	0.508915277626466	False	False	TS: AC
control_derived	798	TS_DLPFC	TS	81	1431	0.789349408953041	-0.341264038022029	Higher in Control	0.0248756218905473	1.0	0.0364978386754751	1.0	1.0	0.980099502487562	0.0049751243781094	1.0	0.0117177271537052	1.0	0.980099502487562	0.0049751243781094	1.0	False	False	TS: DLPFC
control_derived	798	TS_PCGBA23	TS	81	91	1.0314771607907	0.0447118770859687	Higher in AD	0.681592039800995	0.601990049751244	1.0	1.0	1.0	0.323383084577114	0.402985074626866	0.369580668088131	0.524927808509898	0.524927808509898	0.681592039800995	0.601990049751244	1.0	False	False	TS: PCG
control_derived	798	CT_AC__DLPFC	CT	81	702	0.322329841881109	-1.63339033298424	Higher in Control	1.0	1.0	1.0	1.0	1.0	0.0049751243781094	0.0049751243781094	0.0061258334179442	0.0064321250888415	0.0064321250888415	0.0049751243781094	0.0049751243781094	0.0064321250888415	True	True	CT: AC - DLPFC
