cluster_id	cluster_size_expanded	pathway_id	pathway_num	pathway_name	category_level1	category_level2	term	p	fdr	significant	p_AC	fdr_AC	significant_AC	p_DLPFC	fdr_DLPFC	significant_DLPFC	p_PCGBA23	fdr_PCGBA23	significant_PCGBA23	overlap_k	term_size_expanded	term_size_original	universe_expanded	n_tissues	overlap_AC	overlap_DLPFC	overlap_PCGBA23	overlap_genes	neglog10_p	neglog10_fdr
154	345	hsa04971	4971	Gastric acid secretion - Homo sapiens (human)	Organismal Systems	Digestive system	KEGG_hsa04971	0.0344645055259595	0.1225404640923007	False	1.0	1.0	False	1.0	1.0	False	0.0260673952371426	0.2908683035919582	False	4	183	61	51873	3	0	0	4	ENSG00000018625(PCGBA23),ENSG00000092820(PCGBA23),ENSG00000149782(PCGBA23),ENSG00000177807(PCGBA23)	1.4626279480964657	0.9117204792158844
60	273	hsa05206	5206	MicroRNAs in cancer - Homo sapiens (human)	Human Diseases	Cancer: overview	KEGG_hsa05206	0.0886100935297217	0.1226116410469405	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	5	447	149	51873	3	1	2	2	ENSG00000026508(DLPFC),ENSG00000026508(PCGBA23),ENSG00000141510(AC),ENSG00000141510(DLPFC),ENSG00000141510(PCGBA23)	1.0525168050363485	0.9114682948873856
1541	636	hsa05215	5215	Prostate cancer - Homo sapiens (human)	Human Diseases	Cancer: specific types	KEGG_hsa05215	0.0226880656946664	0.1226573551617904	False	1.0	1.0	False	1.0	1.0	False	0.0829888031524778	0.6369546544365525	False	8	279	93	51873	3	2	2	4	ENSG00000100485(AC),ENSG00000101412(DLPFC),ENSG00000101412(PCGBA23),ENSG00000105173(PCGBA23),ENSG00000117020(PCGBA23),ENSG00000133703(PCGBA23),ENSG00000145675(DLPFC),ENSG00000167034(AC)	1.6442025289692674	0.911306404160378
660	644	hsa05206	5206	MicroRNAs in cancer - Homo sapiens (human)	Human Diseases	Cancer: overview	KEGG_hsa05206	0.0108680225960562	0.1228768925015575	False	0.102738806308478	1.0	False	0.3042262566620972	1.0	False	0.0379561075362487	1.0	False	12	447	149	51873	3	4	3	5	ENSG00000005339(AC),ENSG00000005339(DLPFC),ENSG00000005339(PCGBA23),ENSG00000099942(PCGBA23),ENSG00000121879(DLPFC),ENSG00000130816(AC),ENSG00000132155(AC),ENSG00000164045(PCGBA23),ENSG00000168283(AC),ENSG00000168283(DLPFC),ENSG00000168283(PCGBA23),ENSG00000171608(PCGBA23)	1.9638494672975464	0.9105297802755424
660	644	hsa03460	3460	Fanconi anemia pathway - Homo sapiens (human)	Genetic Information Processing	Replication and repair	KEGG_hsa03460	0.0113998374778056	0.1228768925015575	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	6	150	50	51873	3	2	2	2	ENSG00000100038(DLPFC),ENSG00000158169(AC),ENSG00000158169(DLPFC),ENSG00000158169(PCGBA23),ENSG00000169689(AC),ENSG00000169689(PCGBA23)	1.943101340154344	0.9105297802755424
660	644	hsa04630	4630	JAK-STAT signaling pathway - Homo sapiens (human)	Environmental Information Processing	Signal transduction	KEGG_hsa04630	0.0118687907529913	0.1228768925015575	False	1.0	1.0	False	0.1343706274142083	1.0	False	0.0334711279156866	1.0	False	9	294	98	51873	3	2	3	4	ENSG00000005339(AC),ENSG00000005339(DLPFC),ENSG00000005339(PCGBA23),ENSG00000104998(PCGBA23),ENSG00000121879(DLPFC),ENSG00000132155(AC),ENSG00000171552(DLPFC),ENSG00000171552(PCGBA23),ENSG00000171608(PCGBA23)	1.9255935267114184	0.9105297802755424
1139	368	hsa04520	4520	Adherens junction - Homo sapiens (human)	Cellular Processes	Cellular community - eukaryotes	KEGG_hsa04520	0.0392541284918427	0.1229725925524109	False	0.0203368318211084	0.1722970886575418	False	1.0	1.0	False	1.0	1.0	False	5	261	87	51873	3	5	0	0	ENSG00000072110(AC),ENSG00000100030(AC),ENSG00000102882(AC),ENSG00000117155(AC),ENSG00000136280(AC)	1.4061146602706889	0.910191670914902
1139	368	hsa04728	4728	Dopaminergic synapse - Homo sapiens (human)	Organismal Systems	Nervous system	KEGG_hsa04728	0.0402122041232353	0.1229725925524109	False	0.0191439949824366	0.1675099560963208	False	1.0	1.0	False	1.0	1.0	False	6	351	117	51873	3	6	0	0	ENSG00000131771(AC),ENSG00000141404(AC),ENSG00000168243(AC),ENSG00000168280(AC),ENSG00000176533(AC),ENSG00000242616(AC)	1.395642121566976	0.910191670914902
1139	368	hsa05216	5216	Thyroid cancer - Homo sapiens (human)	Human Diseases	Cancer: specific types	KEGG_hsa05216	0.0419087217435383	0.1229725925524109	False	0.026567952311519	0.1945425067707582	False	1.0	1.0	False	1.0	1.0	False	3	108	36	51873	3	3	0	0	ENSG00000100030(AC),ENSG00000102882(AC),ENSG00000174775(AC)	1.377695585365006	0.910191670914902
1139	368	hsa05218	5218	Melanoma - Homo sapiens (human)	Human Diseases	Cancer: specific types	KEGG_hsa05218	0.0420196151834096	0.1229725925524109	False	0.0970266644531738	0.4244916569826357	False	1.0	1.0	False	1.0	1.0	False	4	183	61	51873	3	3	1	0	ENSG00000100030(AC),ENSG00000102882(AC),ENSG00000170962(DLPFC),ENSG00000174775(AC)	1.3765479291905849	0.910191670914902
1139	368	hsa05131	5131	Shigellosis - Homo sapiens (human)	Human Diseases	Infectious disease: bacterial	KEGG_hsa05131	0.0432657666696141	0.1229725925524109	False	0.0165044003947436	0.1600902681000382	False	1.0	1.0	False	1.0	1.0	False	9	648	216	51873	3	9	0	0	ENSG00000025039(AC),ENSG00000072110(AC),ENSG00000100030(AC),ENSG00000100784(AC),ENSG00000102882(AC),ENSG00000131504(AC),ENSG00000138071(AC),ENSG00000163466(AC),ENSG00000163932(AC)	1.363855596180248	0.910191670914902
1139	368	hsa05205	5205	Proteoglycans in cancer - Homo sapiens (human)	Human Diseases	Cancer: overview	KEGG_hsa05205	0.0436073023235499	0.1229725925524109	False	0.0179001293640183	0.1606421866001645	False	1.0	1.0	False	1.0	1.0	False	8	549	183	51873	3	8	0	0	ENSG00000063046(AC),ENSG00000100030(AC),ENSG00000102882(AC),ENSG00000126767(AC),ENSG00000134215(AC),ENSG00000140992(AC),ENSG00000156299(AC),ENSG00000174775(AC)	1.3604407792342632	0.910191670914902
1918	542	hsa03430	3430	Mismatch repair - Homo sapiens (human)	Genetic Information Processing	Replication and repair	KEGG_hsa03430	0.0283795420428887	0.1229780155191845	False	1.0	1.0	False	1.0	1.0	False	1.0	1.0	False	3	63	21	51873	3	2	0	1	ENSG00000076242(AC),ENSG00000076242(PCGBA23),ENSG00000132383(AC)	1.546994616977596	0.910172519390422
